sku,name,category,function,relatives,designer,image,gridorder,neworder
S2000,Triple Swing Arm Wall Lamp,Wall > Task,Functional,Swing Arm Sconce,Studio VC,https://www.circalighting.com/media/catalog/product/s/2/s2000habnp_5.png,4529.0000,,
S2005,Single Swing Arm Sconce,Wall > Decorative,Decorative,Swing Arm Sconce,Studio VC,https://www.circalighting.com/media/catalog/product/s/2/s2005pnnp_11.png,4227.0000,,
S2010,Candlestick Swing Arm,Wall > Task,Functional,Candle Stick,Studio VC,https://www.circalighting.com/media/catalog/product/s/2/s2010habnp_5.png,4493.0000,,
S2110,French Single Sconce,Wall > Decorative,Decorative,FRENCH LIBRARY2,Studio VC,https://www.circalighting.com/media/catalog/product/s/2/s2110pnnp_5.png,4259.0000,,
S2112,French Double Sconce,Wall > Decorative,Decorative,FRENCH LIBRARY2,Studio VC,https://www.circalighting.com/media/catalog/product/s/2/s2112pnl_9.png,4275.0000,,
S2210,French Single Library Sconce,Wall > Decorative,Decorative,FRENCH LIBRARY3,Studio VC,https://www.circalighting.com/media/catalog/product/s/2/s2210pnl_9.png,4235.0000,,
S2212,French Double Library Sconce,Wall > Decorative,Decorative,French Library,Studio VC,https://www.circalighting.com/media/catalog/product/s/2/s2212habl_5.png,4247.0000,,
S2500,Primitive Swing Arm,Wall > Task,Functional,Primitive Swing Arm,Studio VC,https://www.circalighting.com/media/catalog/product/s/2/s2500habl_5.png,4714.0000,,
S2650,Swivel Head Wall Lamp,Wall > Task,Functional,Swivel Head Wall,Studio VC,https://www.circalighting.com/media/catalog/product/s/2/s2650habhab_1.png,4711.0000,,
BBL1002,Lotus Floor Lamp,Floor > Decorative,Decorative,Lotus,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl1002gs_5.png,897.0000,,
BBL1018,Octagon Floor Lamp,Floor > Decorative,Decorative,Octagon,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl1018was_5.png,1057.0000,,
BBL1023,Simple Floor Lamp,Floor > Decorative,Decorative,Simple Scallop,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl1023sbs2_8.png,1066.0000,,
BBL1025,Petal Floor Lamp,Floor > Decorative,Decorative,Petal,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl1025sbs_5.png,1053.0000,,
BBL2017,Simple Scallop Wall Sconce,Wall > Decorative,Decorative,Simple Scallop,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2017sss_5.png,4121.0000,,
BBL2020,Bowmont Single Sconce,Wall > Bath,Bath,Bowmont,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2020pnwg_5.png,5110.0000,,
BBL2023,Westport Sconce,Wall > Decorative,Decorative,Westport,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2023sss_12.png,4125.0000,,
BBL2025,Petal Sconce,Wall > Decorative,Decorative,Petal,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2025sss_8.png,4112.0000,,
BBL2032,All Aglow Sconce,Wall > Decorative,Decorative,All Aglow,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl2032ssamb_5.png,5098.0000,,
BBL3003,Lotus Table Lamp,Table > Decorative,Decorative,Lotus,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3003gs_5.png,542.0000,,
BBL3006,Moon Glow Table Lamp,Table > Decorative,Decorative,Moon Glow,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3006wgs_5.png,117.0000,,
BBL3008,Carousel Table Lamp,Table > Decorative,Decorative,Carousel,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3008sss_8.png,741.0000,,
BBL3009,Simple Cylinder Table Lamp,Table > Decorative,Decorative,Simple Cylinder,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3009cgs_5.png,33.0000,,
BBL3023,Simple Scallop Table Lamp,Table > Decorative,Decorative,Simple Scallop,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3023sbs2_1.png,768.0000,,
BBL3024,Petal Desk Lamp,Table > Decorative,Decorative,Petal,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3024sbs_5.png,733.0000,,
BBL3030,Philosophy Desk Lamp,Table > Decorative,Decorative,Philosophy,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl3030bzs_5.png,704.0000,,
BBL5015,Simple Scallop Large Hanging Shade,Ceiling > Hanging Shade,Hanging Shade,Simple Scallop,Barbara Barry,https://www.circalighting.com/media/catalog/product/b/b/bbl5015sss_5.png,2257.0000,,
